date,week,class,price
2013,1,H,39586
2013,1,M,29774
2013,2,H,40685
2013,2,M,30545
2013,3,H,40331
2013,3,M,30937
2013,4,H,40911
2013,4,M,31515
2013,5,H,41873
2013,5,M,31505
2013,6,H,41988
2013,6,M,30070
2013,7,H,41467
2013,7,M,29982
2013,8,H,41644
2013,8,M,29325
2013,9,H,40640
2013,9,M,29423
2013,10,H,39364
2013,10,M,28841
2013,11,H,39233
2013,11,M,28941
2013,12,H,39417
2013,12,M,30409
2013,13,H,39001
2013,13,M,31644
2013,14,H,39660
2013,14,M,30864
2013,15,H,40340
2013,15,M,29433
2013,16,H,39273
2013,16,M,27659
2013,17,H,38964
2013,17,M,27351
2013,18,H,37748
2013,18,M,27708
2013,19,H,37252
2013,19,M,28106
2013,20,H,37268
2013,20,M,29207
2013,21,H,37234
2013,21,M,28985
2013,22,H,36560
2013,22,M,27859
2013,23,H,35937
2013,23,M,27728
2013,24,H,36187
2013,24,M,29282
2013,25,H,36235
2013,25,M,29376
2013,26,H,36179
2013,26,M,30090
2013,27,H,36170
2013,27,M,30046
2013,28,H,36193
2013,28,M,29354
2013,29,H,36038
2013,29,M,29807
2013,30,H,36178
2013,30,M,29137
2013,31,H,36490
2013,31,M,28864
2013,32,H,35928
2013,32,M,27285
2013,33,H,34384
2013,33,M,25665
2013,34,H,33187
2013,34,M,25954
2013,35,H,31472
2013,35,M,25586
2013,36,H,32466
2013,36,M,24750
2013,37,H,31917
2013,37,M,24600
2013,38,H,32792
2013,38,M,25131
2013,39,H,31732
2013,39,M,25241
2013,40,H,30813
2013,40,M,24370
2013,41,H,30024
2013,41,M,23784
2013,42,H,29753
2013,42,M,23246
2013,43,H,29101
2013,43,M,22795
2013,44,H,29351
2013,44,M,22638
2013,45,H,29394
2013,45,M,22790
2013,46,H,29113
2013,46,M,21358
2013,47,H,29802
2013,47,M,21210
2013,48,H,31129
2013,48,M,22487
2013,49,H,30967
2013,49,M,22610
2013,50,H,30846
2013,50,M,22659
2013,51,H,30722
2013,51,M,22438
2013,52,H,30739
2013,52,M,22726
2014,0,H,30691
2014,0,M,22474
2014,1,H,31556
2014,1,M,22258
2014,2,H,32601
2014,2,M,22619
2014,3,H,33158
2014,3,M,24254
2014,4,H,34098
2014,4,M,24554
2014,5,H,33124
2014,5,M,24483
2014,6,H,32091
2014,6,M,24876
2014,7,H,32756
2014,7,M,25278
2014,8,H,33924
2014,8,M,25405
2014,9,H,34428
2014,9,M,25591
2014,10,H,34517
2014,10,M,24868
2014,11,H,34311
2014,11,M,24979
2014,12,H,34995
2014,12,M,24573
2014,13,H,34546
2014,13,M,24279
2014,14,H,34255
2014,14,M,23817
2014,15,H,35022
2014,15,M,22893
2014,16,H,35791
2014,16,M,24083
2014,17,H,35922
2014,17,M,26006
2014,18,H,35921
2014,18,M,25130
2014,19,H,36357
2014,19,M,23336
2014,20,H,36834
2014,20,M,24718
2014,21,H,37705
2014,21,M,27263
2014,22,H,37683
2014,22,M,29954
2014,23,H,36970
2014,23,M,30943
2014,24,H,37689
2014,24,M,30822
2014,25,H,38103
2014,25,M,29826
2014,26,H,37799
2014,26,M,28262
2014,27,H,39506
2014,27,M,30609
2014,28,H,42783
2014,28,M,32074
2014,29,H,43633
2014,29,M,33478
2014,30,H,43577
2014,30,M,34922
2014,31,H,39890
2014,31,M,34749
2014,32,H,38374
2014,32,M,33576
2014,33,H,37673
2014,33,M,30312
2014,34,H,36682
2014,34,M,30073
2014,35,H,33891
2014,35,M,25589
2014,36,H,32038
2014,36,M,23693
2014,37,H,30708
2014,37,M,20624
2014,38,H,29267
2014,38,M,18405
2014,39,H,27801
2014,39,M,17005
2014,40,H,27317
2014,40,M,17768
2014,41,H,27534
2014,41,M,18845
2014,42,H,27853
2014,42,M,18800
2014,43,H,28202
2014,43,M,18284
2014,44,H,28581
2014,44,M,18341
2014,45,H,27385
2014,45,M,15164
2014,46,H,27419
2014,46,M,15845
2014,47,H,28742
2014,47,M,17716
2014,48,H,28536
2014,48,M,18481
2014,49,H,29152
2014,49,M,19657
2014,50,H,30275
2014,50,M,20171
2014,51,H,30191
2014,51,M,19237
2014,52,H,29464
2014,52,M,19521
2015,0,H,29684
2015,0,M,19648
2015,1,H,29776
2015,1,M,19743
2015,2,H,28939
2015,2,M,19197
2015,3,H,30064
2015,3,M,19753
2015,4,H,31738
2015,4,M,21026
2015,5,H,32279
2015,5,M,21392
2015,6,H,32568
2015,6,M,22170
2015,7,H,32448
2015,7,M,22800
2015,8,H,32205
2015,8,M,20895
2015,9,H,32492
2015,9,M,20100
2015,10,H,31573
2015,10,M,19489
2015,11,H,29938
2015,11,M,17958
2015,12,H,30072
2015,12,M,18428
2015,13,H,30793
2015,13,M,17886
2015,14,H,29397
2015,14,M,17786
2015,15,H,29001
2015,15,M,17787
2015,16,H,28815
2015,16,M,18471
2015,17,H,29488
2015,17,M,18523
2015,18,H,29906
2015,18,M,18259
2015,19,H,30088
2015,19,M,18456
2015,20,H,30554
2015,20,M,18187
2015,21,H,30899
2015,21,M,18253
2015,22,H,30572
2015,22,M,18804
2015,23,H,30606
2015,23,M,18932
2015,24,H,30708
2015,24,M,18185
2015,25,H,30754
2015,25,M,17740
2015,26,H,30584
2015,26,M,17561
2015,27,H,31044
2015,27,M,17922
2015,28,H,31093
2015,28,M,18051
2015,29,H,30019
2015,29,M,17932
2015,30,H,26695
2015,30,M,17712
2015,31,H,26601
2015,31,M,17848
2015,32,H,29170
2015,32,M,18355
2015,33,H,29230
2015,33,M,19937
2015,34,H,27653
2015,34,M,20220
2015,35,H,24993
2015,35,M,19417
2015,36,H,26322
2015,36,M,19710
2015,37,H,27074
2015,37,M,19679
2015,38,H,29196
2015,38,M,20324
2015,39,H,29128
2015,39,M,20804
2015,40,H,28187
2015,40,M,19636
2015,41,H,28549
2015,41,M,19105
2015,42,H,28299
2015,42,M,18432
2015,43,H,28164
2015,43,M,17819
2015,44,H,27525
2015,44,M,17135
2015,45,H,27615
2015,45,M,17099
2015,46,H,28624
2015,46,M,17379
2015,47,H,28081
2015,47,M,18147
2015,48,H,28382
2015,48,M,19046
2015,49,H,29317
2015,49,M,18719
2015,50,H,29107
2015,50,M,19427
2015,51,H,29281
2015,51,M,19490
2015,52,H,30034
2015,52,M,18849
2016,0,H,30034
2016,0,M,17885
2016,1,H,30184
2016,1,M,18491
2016,2,H,30511
2016,2,M,19295
2016,3,H,30906
2016,3,M,18918
2016,4,H,30933
2016,4,M,19416
2016,5,H,30857
2016,5,M,20672
2016,6,H,30190
2016,6,M,21343
2016,7,H,30522
2016,7,M,21500
2016,8,H,31083
2016,8,M,21163
2016,9,H,31641
2016,9,M,20638
2016,10,H,32184
2016,10,M,19584
2016,11,H,31980
2016,11,M,19527
2016,12,H,32025
2016,12,M,19260
2016,13,H,31135
2016,13,M,19768
2016,14,H,30904
2016,14,M,19766
2016,15,H,30639
2016,15,M,19676
2016,16,H,30988
2016,16,M,19846
2016,17,H,31963
2016,17,M,19591
2016,18,H,32061
2016,18,M,19703
2016,19,H,31981
2016,19,M,20328
2016,20,H,32253
2016,20,M,20387
2016,21,H,32453
2016,21,M,19537
2016,22,H,32590
2016,22,M,19975
2016,23,H,32724
2016,23,M,20295
2016,24,H,33089
2016,24,M,20513
2016,25,H,33335
2016,25,M,20443
2016,26,H,33727
2016,26,M,20815
2016,27,H,34125
2016,27,M,21146
2016,28,H,33920
2016,28,M,21402
2016,29,H,33901
2016,29,M,22117
2016,30,H,33823
2016,30,M,22287
2016,31,H,33741
2016,31,M,22727
2016,32,H,33379
2016,32,M,23191
2016,33,H,31713
2016,33,M,23130
2016,34,H,29022
2016,34,M,22824
2016,35,H,27489
2016,35,M,22394
2016,36,H,30132
2016,36,M,21296
2016,37,H,30778
2016,37,M,20920
2016,38,H,31487
2016,38,M,20701
2016,39,H,31976
2016,39,M,21112
2016,40,H,31110
2016,40,M,19276
2016,41,H,31035
2016,41,M,18828
2016,42,H,29828
2016,42,M,18831
2016,43,H,29849
2016,43,M,18592
2016,44,H,29976
2016,44,M,18803
2016,45,H,30427
2016,45,M,19292
2016,46,H,30770
2016,46,M,19335
2016,47,H,30714
2016,47,M,19337
2016,48,H,30335
2016,48,M,20223
2016,49,H,30694
2016,49,M,18923
2016,50,H,31012
2016,50,M,18221
2016,51,H,31033
2016,51,M,18031
2016,52,H,30768
2016,52,M,17849
2017,1,H,31118
2017,1,M,18123
2017,2,H,31021
2017,2,M,18503
2017,3,H,30973
2017,3,M,18989
2017,4,H,30340
2017,4,M,20059
2017,5,H,30737
2017,5,M,20217
2017,6,H,30506
2017,6,M,19635
2017,7,H,29734
2017,7,M,19862
2017,8,H,30251
2017,8,M,19671
2017,9,H,30955
2017,9,M,19113
2017,10,H,31340
2017,10,M,18545
2017,11,H,31799
2017,11,M,18401
2017,12,H,32123
2017,12,M,18491
2017,13,H,32360
2017,13,M,18583
2017,14,H,32196
2017,14,M,19004
2017,15,H,32435
2017,15,M,19154
2017,16,H,32553
2017,16,M,19150
2017,17,H,31954
2017,17,M,19279
2017,18,H,31739
2017,18,M,19501
2017,19,H,32581
2017,19,M,19429
2017,20,H,33000
2017,20,M,19053
