YEAR,WEEK,avgTemper,rain,sunHour,sunAmount,humidity,cloud,snow,wind,price
2010,0,-2.2,0.3,4.6,3.6,59.6,3.0,1.4,8.1,28200
2010,1,-4.3,1.1,5.4,4.0,61.0,2.8,4.6,8.8,28800
2010,2,-3.8,0.2,5.3,4.3,58.5,3.0,3.0,8.2,28800
2010,3,1.0,1.9,5.7,4.4,61.6,2.9,1.1,8.2,28800
2010,4,1.0,1.3,6.2,5.0,57.5,2.5,0.0,9.3,29567
2010,5,-1.0,0.1,6.8,5.7,47.9,2.0,0.0,8.8,34200
2010,6,3.0,5.2,1.3,2.3,75.9,6.6,1.2,7.4,37600
2010,7,-0.3,0.2,6.1,6.4,51.9,3.2,1.8,8.6,37600
2010,8,8.3,5.9,4.4,4.7,71.6,4.0,0.3,8.1,36867
2010,9,5.9,3.8,1.8,3.1,76.6,6.5,0.2,8.3,36480
2010,10,3.9,1.8,3.9,5.7,62.2,4.8,2.0,10.3,36400
2010,11,6.1,3.3,5.0,6.0,58.6,3.8,0.6,11.2,35167
2010,12,5.6,1.3,4.2,6.2,54.7,4.7,0.2,10.1,34267
2010,13,7.2,5.6,6.3,7.7,57.3,3.5,0.0,9.3,34000
2010,14,9.9,0.0,6.8,8.6,54.9,3.5,0.0,8.1,34000
2010,15,8.2,1.2,6.2,8.6,52.8,4.0,0.0,10.2,34000
2010,16,11.8,4.6,3.2,6.3,66.5,5.6,0.0,9.0,34267
2010,17,10.6,5.1,6.8,8.8,56.7,3.3,0.0,11.4,33400
2010,18,17.8,1.0,7.1,9.8,59.9,3.4,0.0,10.0,33567
2010,19,15.4,0.1,7.4,10.5,56.9,3.2,0.0,8.0,33533
2010,20,18.8,11.5,6.2,8.7,66.2,4.5,0.0,8.0,33400
2010,21,15.6,4.5,4.0,7.2,72.9,5.6,0.0,8.3,33900
2010,22,18.6,0.1,9.8,12.2,58.5,2.3,0.0,7.3,34400
2010,23,21.6,3.4,8.1,10.8,57.1,3.8,0.0,7.5,34167
2010,24,22.6,2.8,4.3,8.4,73.1,5.7,0.0,6.9,34500
2010,25,22.3,2.6,6.1,9.2,67.1,4.4,0.0,7.2,35600
2010,26,23.3,7.8,1.7,5.4,82.2,6.5,0.0,6.7,34667
2010,27,24.1,1.6,5.2,9.2,73.5,4.9,0.0,7.0,34467
2010,28,23.1,24.1,2.6,5.9,80.3,6.1,0.0,7.7,34233
2010,29,26.2,4.5,5.2,8.8,74.2,4.7,0.0,9.3,33933
2010,30,25.6,3.5,4.3,8.2,76.8,5.4,0.0,7.9,33300
2010,31,27.0,4.9,4.9,8.2,76.5,4.7,0.0,7.4,31500
2010,32,26.2,16.9,3.8,6.7,78.8,5.6,0.0,9.1,30233
2010,33,26.4,11.9,6.1,8.4,77.9,4.2,0.0,7.5,29533
2010,34,25.8,10.4,3.8,6.7,78.8,5.2,0.0,8.2,28933
2010,35,25.4,13.6,4.8,6.8,79.7,5.3,0.0,9.0,28800
2010,36,23.7,18.8,2.3,5.0,78.8,6.3,0.0,8.3,30533
2010,37,22.5,4.0,7.6,8.6,72.4,2.6,0.0,6.7,43900
2010,38,19.9,9.2,5.0,6.4,74.4,4.4,0.0,7.8,43400
2010,39,16.1,2.0,5.1,6.8,69.1,3.8,0.0,6.6,38733
2010,40,16.7,2.1,4.9,6.2,73.3,4.3,0.0,7.2,36900
2010,41,16.0,0.1,5.7,6.4,70.0,3.4,0.0,6.9,32567
2010,42,15.2,0.2,6.1,6.1,68.9,3.0,0.0,6.6,32400
2010,43,10.0,1.7,6.6,6.2,56.5,2.6,0.0,9.2,35600
2010,44,9.7,0.1,7.2,5.8,60.3,1.5,0.0,7.6,36200
2010,45,8.8,1.0,5.9,4.9,56.9,3.0,0.0,10.6,35833
2010,46,5.9,0.0,6.6,5.0,55.1,1.8,0.0,6.7,38500
2010,47,6.2,0.4,6.0,4.6,55.2,2.7,0.0,9.1,40800
2010,48,5.5,0.5,5.4,4.2,61.3,2.5,0.1,8.6,42000
2010,49,3.3,0.5,5.2,4.0,55.6,2.9,0.3,10.3,42360
2010,50,-0.6,2.1,6.6,3.6,56.9,3.2,0.2,8.9,43400
2010,51,1.2,0.1,5.8,4.1,57.6,2.3,0.2,8.7,43933
2010,52,-2.7,1.7,4.9,3.7,64.1,3.5,3.7,10.4,44200
2011,0,-4.8,0.5,6.5,4.6,59.9,2.4,4.5,8.8,44200
2011,1,-2.8,0.2,5.7,4.4,61.1,2.7,3.0,8.2,44200
2011,2,-4.5,0.2,6.6,4.9,49.9,2.4,1.8,10.2,45000
2011,3,-5.2,0.1,6.9,5.1,50.9,2.0,1.1,9.1,45600
2011,4,-3.9,0.4,5.3,4.3,43.5,2.6,1.7,9.7,46100
2011,5,-0.5,0.0,7.3,5.7,56.4,1.8,0.8,7.5,50600
2011,6,0.7,0.7,4.6,4.7,58.9,3.5,0.7,8.0,50600
2011,7,0.2,1.3,5.5,5.4,63.0,3.3,2.2,6.9,50200
2011,8,5.5,0.0,8.0,7.4,56.2,2.2,0.3,7.7,49600
2011,9,2.5,6.3,5.3,5.7,62.3,3.5,0.4,9.9,48800
2011,10,3.7,0.0,7.5,7.4,39.4,1.3,0.1,10.7,49155
2011,11,6.1,0.0,7.2,8.1,49.2,2.8,0.0,10.2,49132
2011,12,4.7,2.8,7.2,8.4,50.7,3.2,0.2,10.6,49332
2011,13,7.8,0.0,8.0,9.3,49.1,2.0,0.0,8.7,48165
2011,14,9.8,3.4,7.2,8.5,59.9,2.6,0.0,8.5,47732
2011,15,11.8,0.4,9.4,10.8,47.4,1.7,0.0,9.7,46065
2011,16,10.5,4.0,6.7,8.7,59.1,3.2,0.0,10.0,44832
2011,17,12.4,6.8,5.0,7.7,63.6,4.0,0.0,11.2,45832
2011,18,15.3,0.6,7.0,9.7,59.3,3.1,0.0,9.1,47132
2011,19,16.8,13.2,4.7,7.3,67.6,3.9,0.0,10.5,47132
2011,20,17.8,1.2,7.0,9.7,61.0,3.2,0.0,9.3,48211
2011,21,17.1,1.9,4.1,7.7,65.7,4.9,0.0,7.6,49467
